cons,anio_reg,nombre_estacion,direccion,codigo_postal,ciudad,estado,telefono,latitude,longitude,electrolineras_totales,cargadores_01,tipo_01,potencia_01,cargadores_02,tipo_02,potencia_02,cargadores_03,tipo_03,potencia_03,cargadores_04,tipo_04,potencia_04,cargadores_05,tipo_05,potencia_05
1,2026,Fiesta Americana Aguascalientes,Calle Los Laureles S/N Las Flores,20020,Aguascalientes,Aguascalientes,52 449 910 0500,20.0495787,-98.7629176,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
2,2026,Fiesta Inn Aguascalientes,"Calle Mahatma Gandhinumero 302 Sur Prados de Villasuncion, Desarrollo Especial Villa Asuncion,",20280,Aguascalientes,Aguascalientes,52 449 149 0200,21.8683525,-102.2954056,3,3,Tesla D,18,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
3,2026,One Aguascalientes San Marcos,Los Laureles No. 404 Fracc. Las Flores,20220,Aguascalientes,Aguascalientes,52 449 994 6660,19.3530754,-99.2022764,3,3,Tesla D,16,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
4,2026,Aguascalientes Supercharger,Km. 11 Carr. Panamericana,20349,Aguascalientes,Aguascalientes,01 800 228 8145,20.5158081,-100.9508514,6,6,Tesla SC,150,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
5,2026,Electronity Plazita Emporium AGS,"Blvd. Luis Donaldo Colosio Murrietanumero 400, Valle del Campestre, 20110 Aguascalientes, Ags.",20110,Aguascalientes,Aguascalientes,sin dato,21.9249414,-102.3106885,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
6,2026,Almacen del Biffe,"Blvd. Luis Donaldo Colosio Murrieta 600, Villas de San Nicolas, 20115 Aguascalientes, Ags., Mexico",20115,Aguascalientes,Aguascalientes,sin dato,21.9252716,-102.3017848,2,2,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
7,2026,BMW Soni Aguascalientes,"Blvd. Luis Donaldo Colosio Murrieta 360, 20115 Aguascalientes, MX",20110,Aguascalientes,Aguascalientes,sin dato,21.9251172,-102.3083626,2,2,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
8,2026,BMW Surman Motors Torreon,"Blvd. Independencia s/n, 27010 Torreon, MX",27010,Aguascalientes,Aguascalientes,sin dato,25.5665177,-103.4260371,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
9,2026,Clover Casino,"Blvd. Luis Donaldo Colosio Murrieta 702, Desarrollo Especial Galerias, 20110 Aguascalientes, Ags., Mexico",20110,Aguascalientes,Aguascalientes,sin dato,21.9255217,-102.2968096,1,1,SAE J1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
10,2026,Correduria 12 Aguascalientes Lic. Saul Favela (Coming Soon),"Sierra del Humo 103-INT 04, Bosques del Prado Sur, 20130 Aguascalientes, Ags., Mexico",20130,Aguascalientes,Aguascalientes,sin dato,21.913677,-102.3115938,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
11,2026,Fiesta Americana,"Calle Los Laureles S/N, Las Flores, Desarrollo Especial Zona de la Feria, 20020 Aguascalientes, Ags., Mexico",20220,Aguascalientes,Aguascalientes,sin dato,21.8740323,-102.3060874,3,1,SAEJ1772,7,2,Tesla D,11.5,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
12,2026,JAC Aguascalientes,"Prol I. Zaragoza No. 102 esq, Blvd. Luis Donaldo Colosio Murrieta Fracc, Valle de las Trojes, 20115 Aguascalientes",20115,Aguascalientes,Aguascalientes,52 449 498 9828,21.9254239,-102.3049087,2,1,Tesla D,11.5,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
13,2026,Mercedes Benz Automotriz Romo,"Blvd. Luis Donaldo Colosio Murrieta LB, Jardines de la Concepcion I, 20120 Aguascalientes, Ags., Mexico",20120,Aguascalientes,Aguascalientes,sin dato,21.9244547,-102.3091435,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
14,2026,Museo Descubre,"Av. del Parque 1108, Desarrollo Especial Quinta Real, 20276 Aguascalientes, Ags., Mexico",29359,Aguascalientes,Aguascalientes,sin dato,21.8568504,-102.2884401,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
15,2026,Ramada encore,"Aguascalientes - Encarnacion de Diaz 3005, San Pedro, 20280 Aguascalientes, Ags., Mexico",20393,Aguascalientes,Aguascalientes,sin dato,21.8418726,-102.2910991,2,2,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
16,2026,Suecia Car Aguascalientes,"Blvd. Luis Donaldo Colosio Murrieta 741, Col, Trojes de Alonso, 20462 Aguascalientes, Ags.",20462,Aguascalientes,Aguascalientes,sin dato,21.9250776,-102.2945181,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
17,2026,Nissan Isla San Marcos,"Pirules, Aguascalientes, AG, 20210",20210,Aguascalientes,Aguascalientes,sin dato,21.8702776,-102.3116489,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
18,2026,Nissan Aguascalientes Lopez Y Gonzalez,"1327 Blvd. Jose Ma. Chavez No., Aguascalientes , AG, 20270",20270,Aguascalientes,Aguascalientes,sin dato,21.8620277,-102.2946898,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
19,2026,Universidad Autonoma De Aguascalientes,"940 Av. Universidad, Aguascalientes, AG, 20116",20116,Aguascalientes,Aguascalientes,sin dato,21.914165,-102.3163244,1,1,SAEJ1772,7,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato,sin dato
